id,place_name,average_rating,granular_category,lat,lng
125,Mutanabi Park,3.8,park,24.6758559,46.7313413
126,Al Nahda Park - Start Point,3.8,park,24.7036138,46.7451501
127,Taiba Park North Side,3,park,24.5562696,46.8059756
128,Garden in Yarmouk district,3.8,park,24.558074,46.804613
129,King Salman Park,3,park,24.7088259,46.7142481
130,Shubra district park,4.2,park,24.5653676,46.6492438
131,Marwa Walk,5,park,24.5250652,46.6499961
132,Marwa Second Park,4,park,24.534338,46.6603839
133,Third Western Suwaidi Park,4,park,24.5642908,46.6366436
134,Imam Abdulrahman Alfaisal Hospital Garden,5,park,24.5276503,46.6519735
135,Owsaa Lake Park,4.7,park,24.5591486,46.652743
136,Wadi Hanifa,4.3,park,24.7198661,46.5712558
137,Park,4.6,park,24.6934793,46.5806955
138,Al Nahda Park,4,park,24.6864146,46.7549525
139,Al-Jabri Garden,3,park,24.7426943,46.8407774
140,Zahra Park,3.8,park,24.6891412,46.7285941
141,New Ashbilia District Park,3.6,park,24.7871993,46.7908979
142,Park Wadi Hanifa Dir'iyya,4.2,park,24.7683566,46.5325656
143,Alhadhabah Park,4,park,24.5918041,46.7801982
144,Ishbiliyah New Park,3.6,park,24.7871993,46.7908979
145,alrayyan birds,4.2,park,24.8645898,46.6160773
146,Third Arqah Park,4,park,24.6891037,46.5959261
147,Irqah Wadi Hanifa,5,park,24.6785488,46.6070573
148,Assidr Park,4.4,park,24.6811067,46.6127727
149,Assabaa Park,4.4,park,24.6841452,46.6144119
150,Irqah Park,4,park,24.6866629,46.5865183
151,Al Tarf Park,3.6,park,24.749823,46.8389082
152,Rathath Es,3.7,park,24.616188,46.709965
153,Olaisha Park,4,park,24.6294434,46.6775695
154,Fog World,3.5,park,24.616017,46.7097931
155,Wadi Hanifah,4.2,park,24.5923186,46.7048389
156,Water Park Area,4.3,park,24.5892181,46.7061458
157,"Pigeon, walking and cycling yard",4.4,park,24.5957202,46.6963175
158,Public Al-Suwaidi Garden,3.9,park,24.5970372,46.6950887
159,King Fahd District Park,4,park,24.7337732,46.674437
160,Um Al Hamam Park,3.8,park,24.7004556,46.6483678
161,AlSalem Park,4.1,park,24.7050989,46.670301
163,Abdul Kader Shop,3,park,24.7134546,46.6718374
164,Al Rahmaniyah Park,4,park,24.7144173,46.6644926
165,Riviera Compound 3 (12 B),3.8,park,24.852767,46.6228301
166,"Fountain Park, Al Bustan Village",3,park,24.853556,46.6373387
167,Hello Park,4.4,park,24.6923933,46.6695316
168,The Fountain,4.5,park,24.8414439,46.7333447
169,AZAR GARDENS,5,park,24.7079149,46.679419
170,Oqla,3.7,park,24.9559727,46.6581208
171,Garden Al Jana Daria,3,park,24.801633,46.8604751
172,Garden Janadriah,3.7,park,24.8014838,46.8613203
173,Laban Park,3.9,park,24.637671,46.5675731
174,Wadi Hanifah,4.5,park,24.7093784,46.5903303
175,Al-Yamamah Garden,3.7,park,24.5884724,46.713346
176,Wadi Hanifa,5,park,24.5832906,46.7113533
177,MC Park,3,park,24.7548734,46.8668481
178,Al Shoumoukh Park,3.9,park,24.7517911,46.6836632
179,AL Dhouha Park.,4.1,park,24.7294936,46.6751016
180,AlBustan Park,5,park,24.7238024,46.6786298
181,Shatha Park,3.9,park,24.7370468,46.6765419
182,Park for kids,3.4,park,24.7163393,46.6937305
183,Urubah Park,3,park,24.7114372,46.6554206
184,Al Yasmin Park,4.1,park,24.8250283,46.6469826
185,Ar Rabi Park,3.7,park,24.830744,46.664677
186,Al Yasmin Garden 6,3.9,park,24.8293701,46.6334035
187,Qurtoba Neighborhood Park,4.3,park,24.8043208,46.7313845
188,Al Hamra Park,4.1,park,24.781456,46.7612858
189,Al Khaleej Garden,3.9,park,24.7656804,46.7988825
190,First Gulf Park,3.9,park,24.7664811,46.7985952
191,Neighborhood Park,5,park,24.7673121,46.8025688
192,Alkhaleej Park,3,park,24.7739295,46.7999798
193,Albasmah Park,4,park,24.7434952,46.6902751
194,Garden Manhal,4,park,24.744282,46.6952767
195,Alsurwat Park,3.8,park,24.7398477,46.6865545
196,Urubah Primary Substation,3,park,24.723957,46.693234
197,Albalad park,4,park,24.6048125,46.7361875
198,Al Iman Park,3,park,24.6032016,46.7337458
199,Nesto Park,4.5,park,24.5984413,46.7477445
200,Al Arfaj Park,4,park,24.6106841,46.7474272
201,Al Yarmuk Park,2.8,park,24.79556,46.7709449
202,Rasheed Park,4,park,24.8185367,46.7491284
203,Al Munisiyah Park,3.8,park,24.8177529,46.7579755
204,Al Qalam Park,3.9,park,24.818009,46.75779
205,First Qurtoba Park,3,park,24.8161127,46.7382008
206,Qurtoba 6,4.4,park,24.8161808,46.7382398
207,West Qurtoba Park,3.7,park,24.8019579,46.72712
208,Al Arjuan Park,2.8,park,24.801747,46.7266489
209,Second Narjis Park,3.6,park,24.8249692,46.6688257
210,Al Lotus Park,5,park,24.8244234,46.6677285
211,Alyasmine Park,4.3,park,24.8201258,46.660095
212,Flower Path - King Abdullah Walkway,4.4,park,24.7389692,46.7035638
213,Prince Sultan Walkway,4.6,park,24.7356729,46.6958377
214,Salah Aldeen Park,4.1,park,24.7368766,46.6927813
215,King Abdullah Walkways and Park,4.5,park,24.7401888,46.6949149
216,King Abdullah Walkways and Park,4.7,park,24.7413318,46.6975081
217,King Salman Park Foundation(Site Office),4.7,park,24.7252311,46.6985087
218,The Durra Garden,3.9,park,24.7418514,46.6911387
219,Almather Housing Park,4.5,park,24.6749271,46.7018298
220,Al Shifa Walkway,4.3,park,24.575066,46.6975191
221,Wadi Hanifa Park,4.3,park,24.5522524,46.7406021
222,Al-Narjis garden,4.2,park,24.82379,46.6915524
223,Noura Park,3.9,park,24.8261661,46.7437095
224,Altilal Park,3.7,park,24.5501395,46.7244689
225,Alfarhah,4.1,park,24.7671389,46.5658611
226,Al Rihab Park,4.3,park,24.7811495,46.565249
227,Aldiriyah Park,5,park,24.7659167,46.5684444
228,Irqah Garen,4.5,park,24.6872782,46.6108428
229,Alkhamilah Park,4,park,24.6905872,46.6117746
230,Ar Ramly Park,5,park,24.8136932,46.7240915
231,Munsiyah district park (5),4.4,park,24.8292125,46.7520097
232,Dar Jeel Park,5,park,24.6917067,46.6057249
233,Al Anoud Stable for Arabian Horses,5,park,24.7650399,46.8238276
234,Alnafl Walkway,3.8,park,24.5753054,46.7591808
235,Al Luluah Park and Walkway,3.3,park,24.5743497,46.7592109
236,Alshalal Park,3.4,park,24.611954,46.7264517
237,King Abdullah Park,4.5,park,24.5366179,46.4611877
238,Al Nazeem Wild Front,5,park,24.8211169,46.8990848
239,Al Nazeem Walkway,4.2,park,24.8217355,46.8989624
240,sokon garden,4,park,24.5517221,46.6893595
241,Garden buds,4.1,park,24.7265788,46.6843696
242,Falah Park,4.1,park,24.7919969,46.7063861
243,Al Hamra Park,4.1,park,24.7864166,46.7600322
244,SABIC Park,3.9,park,24.7958023,46.7245817
245,First Granada Park,4,park,24.7981855,46.7480733
246,Al Aghsan Park,4,park,24.7316979,46.6811399
247,Alsunbulah Park,4.1,park,24.72916,46.6817101
248,Alshuhada Park,4.3,park,24.7918293,46.7428377
249,Attyaf Garden,3,park,24.8009995,46.7615309
250,Alshuhada Park,4.2,park,24.7909754,46.742126
251,Wadi Hanifah Park,4.5,park,24.6560988,46.6131872
252,Wadi Hanifa Lake,4.3,park,24.6605625,46.6070625
253,Alsafarat Park,4.5,park,24.6762088,46.6142007
254,Sidr Park,4.7,park,24.6762898,46.6136099
255,Al Nafal Park,4.4,park,24.676567,46.6135137
256,Al Arrar Park,4.5,park,24.676358,46.6177777
257,Asheeh Park,4.5,park,24.6759751,46.6203174
258,DQ walking & Cycling track,4.6,park,24.6755035,46.6209665
259,Yamamah Park,4.4,park,24.681245,46.6161533
260,King Abdullah Park,4.3,park,24.6663356,46.7372099
261,Wadi Webair,4.5,park,24.6616677,46.6060226
262,An Nassriah Park,5,park,24.673396,46.6556151
263,Alhashim Park,5,park,24.6765509,46.6499391
264,AlHinaa Park,3.8,park,24.6525717,46.6678881
265,Al-Athel Garden,4.2,park,24.6729205,46.6355054
266,Talha Garden,4.3,park,24.671229,46.6321772
267,Sharfiyya park,3.9,park,24.6563621,46.6710163
268,Al-Hada Park,4.1,park,24.6588259,46.6271934
269,Fourth Children Playgroung Alsulaimaniah Neighborhood,5,park,24.7103455,46.7034804
270,Alsulaimaniah Park,4,park,24.7075414,46.7049896
271,Muntzah Albujairi Garden,4.2,park,24.7352804,46.5773588
272,Wadi Irqah Park,4.4,park,24.7034493,46.6039861
273,Narjis Public Walkway,4.2,park,24.8287878,46.6671592
274,Alnaseem Park,3,park,24.7275936,46.845584
275,AlGhubairah Park,3.8,park,24.6176163,46.7315681
276,Khuyool Park,3.7,park,24.5924007,46.722637
278,Ar Raihan Park,4.4,park,24.6818567,46.6363976
279,Grassy Park,4.1,park,24.6723888,46.625563
280,Cave Park,3.9,park,24.6740511,46.6738429
281,Al Watan Park,4.2,park,24.6449364,46.7115062
282,Aeryjae second garden,3.8,park,24.588339,46.5989523
283,Alsalam park,4,park,24.7040647,46.8134124
284,Al Douh Park,3.8,park,24.5806365,46.5861858
285,Rawdah Park,4.2,park,24.731698,46.7755667
286,Carmen Park Chalets,3.6,park,24.5480597,46.5732209
287,Al Mubarky Walkway,5,park,24.7485833,46.8081894
288,Al Nahdhah Park,4,park,24.747323,46.8046942
289,Al Aqiq Park,3.9,park,24.7816934,46.6253145
290,Salman AlFarsy Park,3.9,park,24.7818061,46.796826
291,Ishbiliyah Neighborhood Children's Park,3.9,park,24.7891276,46.8017836
292,AlFarsy park,4.3,park,24.7820794,46.7949833
293,"Visitor Pavillion, King Salman Park",4.3,park,24.7145412,46.7116993
294,King Salman Park,4.7,park,24.7140163,46.707157
295,Wadi Hanifa Garden,4.5,park,24.6678395,46.607265
296,Wadi Hanifa Park,4.3,park,24.6531667,46.6203056
297,Wadi Hanifa Park,4.6,park,24.6654173,46.6075547
298,Wadi Hanifa Garden,4.5,park,24.6604416,46.6031463
299,Under the stars,4,park,24.6650529,46.6085998
300,Al Shohada Garden,4.1,park,24.7925824,46.7361641
301,Al Sausan Park,4.3,park,24.6973001,46.6600428
302,AlQairawan Park,3.8,park,24.869821,46.574517
303,caravan valley,4.3,park,24.9444541,46.5672245
304,AlFateh Park,3.9,park,24.7467308,46.7930953
305,Nourah Albassam Park,5,park,24.8282954,46.7316241
306,Public Park,5,park,24.8203625,46.7337605
307,Dhahrat Laban Park,4.1,park,24.643435,46.5738934
308,Al Arjan Park,4.8,park,24.8089341,46.744616
309,Yarmouk Walkway,4.8,park,24.796145,46.7641368
310,Gharnatah Walkway,4.3,park,24.7891985,46.7393796
311,Alshuhadaa 4,4.7,park,24.7929266,46.7363125
312,Diyaar Alsaad Park,3.9,park,24.9713744,46.6264147
313,Shams Park,4.3,park,24.9674088,46.6176781
314,AlFanar Park,4.3,park,24.5339818,46.9372939
315,AlQadisiah Park,3.7,park,24.8068672,46.8182771
316,An Narjis Park,3,park,24.7451657,46.6979256
317,Okaz Park,3.8,park,24.5227626,46.677292
318,AlAjial Park,4,park,24.726992,46.6820143
319,Albahjah Park,3,park,24.5878499,46.7230241
320,Albawardi garden,3.7,park,24.5835118,46.7749075
321,Saif Alghulaisy stable,3,park,24.9527016,46.8581912
322,Almahdiah View,3.5,park,24.6259673,46.467857
323,AlDarr AlBaidaa Nieghborhood Park,5,park,24.5723478,46.8038737
324,DQ Running Track,5,park,24.6832935,46.6231824
325,Noel n Elbert Tambayan Park,4.5,park,24.6811862,46.6224508
326,AlFazari Feild,4,park,24.6845711,46.6247139
327,"Khuzama Park, Diplomatic Quarters",4.3,park,24.686497,46.621927
328,DQ Seating Area,1,park,24.6838043,46.6243327
329,Shurooq AlDarr,5,park,24.5536555,46.7796896
330,AlFajr Park,3.6,park,24.7356619,46.6791553
331,Alanuar Park,4.2,park,24.7323096,46.6795136
332,King Salman park,4.5,park,24.7205206,46.6968415
333,Garden Inshirah,3.8,park,24.7377588,46.6783658
334,King Salman Aroubah Park Gate,4.6,park,24.7227721,46.7024239
335,Badr II Park,3.14,park,24.52618532,46.69862241
336,Alkhulaij Park,5,park,24.7702826,46.7838761
337,Muhaidib Hotel,3.7,hotel,24.6771892,46.727269
338,Milinia Alulia Hotel,3.7,hotel,24.7059844,46.6770079
339,Dome,3.1,hotel,24.7153331,46.696429
340,ALMUHAIDB HOTEL,3.6,hotel,24.6816743,46.6914927
341,Taleen Hotel,3.4,hotel,24.690915,46.709006
342,Mira Suits Antoun,3.7,hotel,24.692248,46.7229086
343,Boudl Khurais Hotel,3.3,hotel,24.6801696,46.6932212
344,Mena Andalusia Hotel,3.4,hotel,24.6812654,46.6900307
345,Narcissus Hotel Riyadh,4.4,hotel,24.6956749,46.6836215
346,Reef Almalaz Hotel,2.7,hotel,24.6590531,46.7207947
347,Golden Tulip Al-Nasiriah hotel,3.5,hotel,24.6595734,46.683504
348,"Holiday Inn Riyadh - Olaya, an IHG Hotel",4,hotel,24.6803592,46.6905197
349,The Business Boutique Hotel,3.4,hotel,24.6926749,46.6844298
350,Shahen Resort,4.1,hotel,24.8584853,46.656011
351,Holiday Resort & Villas,3.9,hotel,24.8409176,46.6824406
352,Tallen Almaseef Hotel,3.1,hotel,24.763771,46.6841505
353,Executives Hotel Al Azizia,3.8,hotel,24.5964682,46.7451543
354,Albahia Hotels,3.5,hotel,24.601565,46.7538884
355,Orchid Almansour Hotel,3.3,hotel,24.6991892,46.7183384
356,Novotel Riyadh Al Anoud,4.2,hotel,24.7068776,46.6755136
357,Park House Hotel Apartments,4.1,hotel,24.7187663,46.6804909
358,Crowne Plaza Riyadh Al Waha,4.3,hotel,24.7421336,46.7250801
359,Qasr Albaroon Almaseef ,2.5,hotel,24.763771,46.6841505
360,Rafa,3.8,hotel,24.7714448,46.6985343
361,Ewaa Express Hotel - Al Olaya  ,3.6,hotel,24.6934707,46.6849224
362,Chalets Smoky Water Water,3.6,hotel,24.8835354,46.6184629
363,Pearls Venice Hotel Apartments,3.3,hotel,24.7582723,46.727261
364,Obaer Hotel,3.6,hotel,24.6887204,46.68802
365,Sheraton Riyadh Hotel & Towers,4.2,hotel,24.7274703,46.6652457
366,Crowne Plaza Riyadh Palace,4.4,hotel,24.6647143,46.7113242
367,Carawan Al Fahad Hotel,3.9,hotel,24.7108041,46.670519
368,Hotel Al Khozama,4,hotel,24.6919914,46.6857019
369,Mandarin Oriental Alfaisaliah,4.5,hotel,24.6903668,46.6841129
370,Four Seasons Hotel Riyadh At Kingdom Center,4.5,hotel,24.7113676,46.6743073
371,"Holiday Inn Riyadh - al Qasr, an IHG Hotel",4,hotel,24.683901,46.688032
372,Rosh Rayhaan by Rotana,4.5,hotel,24.7004029,46.6819706
373,"Alhamra palace By Warwick,Riyadh",3.8,hotel,24.7305628,46.6690566
374,Mandarin Alshamal Hotel Apartments,4.3,hotel,24.7539978,46.6787789
375,Riyadh Marriott Hotel,4.2,hotel,24.6859161,46.712343
376,Days Hotel by Wyndham Olaya Riyadh,3.7,hotel,24.6922593,46.6843361
377,Riyadh Airport Marriott Hotel,4.3,hotel,24.9244498,46.7129794
378,Wahat Ghanati Hotel,3.7,hotel,24.7899436,46.8215394
379,Takala Hotel Apartments,3.6,hotel,24.807339,46.7832623
380,Sama Nadirin suites,3.6,hotel,24.7827809,46.833059
381,"Radisson Blu Hotel, Riyadh",4.2,hotel,24.6708028,46.7188387
382,Nayyara,3.4,hotel,24.6825049,46.6771534
383,Grand Plaza Hotel - Takhasosi,3.7,hotel,24.6795158,46.6774668
384,Al-Solidere (1) Hotel Suites,2.8,hotel,24.7847256,46.8252797
385,Coral Olaya Hotel,3.5,hotel,24.674017,46.6937449
386,Mangrove Beach,3.7,hotel,24.9306194,46.997271
387,Al Rafahya Crown,3.7,hotel,24.793234,46.8192995
388,Four Points by Sheraton Riyadh Khaldia,4.1,hotel,24.6381134,46.7123856
389,Hotel Al Murabaa,3.4,hotel,24.6644614,46.7067201
390,Elaf Al Modn Hotel Apartments,3.7,hotel,24.7925,46.7897222
391,"Crowne Plaza Riyadh Minhal, an IHG Hotel",4.5,hotel,24.6896674,46.7173085
392,Carawan Al Khaleej Hotel,3.9,hotel,24.6765765,46.6941213
393,Ganadin Hotel,3.4,hotel,24.7011418,46.6818923
394,"The Ritz-Carlton, Riyadh",4.6,hotel,24.6657249,46.6308668
395,Safarat Hotel,3.7,hotel,24.6600138,46.6072407
396,Aba Alkhail Hotel,4,hotel,24.6418041,46.718482
397,Al Bustan Residence,4.2,hotel,24.7667785,46.5714302
398,Ritaj Hotel Suites,3.3,hotel,24.695508,46.7023467
399,Asoul Najed 2 Hotel Suite,3.8,hotel,24.6853708,46.7205951
435,Starbucks,4.1,cafe,24.6935,46.6951
436,Java Time,4.2,cafe,24.6828402,46.6971951
437,Dunkin Dontes,4.1,cafe,24.6901547,46.7124241
438,Tim Hortones,4.1,cafe,24.6898985,46.7136312
439,Dolce Ragoza,4.4,cafe,24.6965195,46.7034
440,Starbucks,4.1,cafe,24.697319,46.7019081
441,Dunkin,4.2,cafe,24.691997,46.6934184
442,In chocolate,3.7,cafe,24.6923761,46.6932153
443,Dunkin,4.2,cafe,24.6806895,46.6944797
444,Caribu Kafi,4.2,cafe,24.702843,46.699818
445,Starbucks,4.1,cafe,24.7014002,46.6963208
446,Dunkin,4.2,cafe,24.6987999,46.6902205
447,Starbucks,4.1,cafe,24.6988,46.6899
448,Tim Hortons,4.2,cafe,24.6986875,46.6898125
449,Mama Benz Cafe,4.3,cafe,24.6975625,46.6874375
450,Rifai toast,4.3,cafe,24.6720038,46.7275796
451,Vivenea Lounge,4,cafe,24.6982024,46.6869432
452,Café food prospects,4.4,cafe,24.6632305,46.7037482
453,Golden Tulip Nasserite Hotel,3.5,cafe,24.6595734,46.683504
454,Starbucks,4.1,cafe,24.6935,46.6951
455,Java Time,4.2,cafe,24.6828402,46.6971951
456,Caramel lobby Lounge,4.3,cafe,24.700242,46.682188
457,Starbucks,4.1,cafe,24.704945,46.679131
458,Dunkin,4.1,cafe,24.7043052,46.6821142
459,Higher Executive Hotel,4,cafe,24.7084843,46.6779717
460,Vivenea Lounge,4,cafe,24.6982024,46.6869432
461,Mama Benz Cafe,4.3,cafe,24.6975625,46.6874375
462,Tim Hortons,4.2,cafe,24.6959454,46.6699101
463,Totti Cafe,4.1,cafe,24.6925045,46.6734398
464,Tim Hortons,4.2,cafe,24.6986875,46.6898125
465,Starbucks,4.1,cafe,24.6988,46.6899
466,Dunkin,4.2,cafe,24.6987999,46.6902205
467,Lamud,2.9,cafe,24.6929447,46.6703665
468,Zul Sai,3.7,cafe,24.713591,46.6755535
469,Tim Hortons,4.2,cafe,24.7136379,46.6751825
470,Crabbi Karim,4.3,cafe,24.7046572,46.6650381
471,Starbucks,4.2,cafe,24.714894,46.6778172
472,Aroma Coffee,4.5,cafe,24.6866676,46.6806202
473,Starbucks,4.1,cafe,24.6935,46.6951
474,White foam cafe,3.8,cafe,24.7300841,46.6946022
475,Tim Hortons,4.2,cafe,24.7136379,46.6751825
476,Zul Sai,3.7,cafe,24.713591,46.6755535
477,Starbucks,4.2,cafe,24.714894,46.6778172
478,Higher Executive Hotel,4,cafe,24.7084843,46.6779717
479,Tim Hortons,4.2,cafe,24.7163056,46.6822616
480,Starbucks,4.1,cafe,24.704945,46.679131
481,Dunkin,4.1,cafe,24.7043052,46.6821142
482,Crabbi Karim,4.3,cafe,24.7046572,46.6650381
483,Dunkin Dontes,4.2,cafe,24.7081879,46.6616337
484,Dunkin Dontes,4.1,cafe,24.7257743,46.681398
485,Godfa,4.2,cafe,24.7187069,46.6578857
486,Caramel lobby Lounge,4.3,cafe,24.700242,46.682188
487,Starbucks,4.1,cafe,24.73049,46.671662
488,Sultan of coffee,3.9,cafe,24.7212589,46.6560713
489,Tim Hortons,4.2,cafe,24.6959454,46.6699101
490,Dunkin Dontes,4.2,cafe,24.717241,46.694829
491,Vivenea Lounge,4,cafe,24.6982024,46.6869432
492,Mama Benz Cafe,4.3,cafe,24.6975625,46.6874375
493,Golden Tulip Nasserite Hotel,3.5,cafe,24.6595734,46.683504
494,Starbucks,4.1,cafe,24.6935,46.6951
495,Java Time,4.2,cafe,24.6828402,46.6971951
496,Totti Cafe,4.1,cafe,24.6925045,46.6734398
497,Lamud,2.9,cafe,24.6929447,46.6703665
